ID,GEN,PEN,MET,FUS,TEI,VAN,Ery,CLI,LIN,CIP,RIF,TET,TMP
14200_7#11,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#12,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#13,0,1,1,1,0,0,1,0,0,0,0,0,0
14200_7#14,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#15,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#16,0,1,1,0,0,0,1,0,0,0,0,1,0
14200_7#17,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#18,1,1,1,0,0,0,0,0,0,0,0,1,1
14200_7#19,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_7#2,0,1,1,0,0,0,0,0,0,0,0,0,0
14200_7#20,0,1,1,0,0,0,1,0,0,1,0,1,0
14200_7#21,0,1,1,0,0,0,0,0,0,0,0,0,0
14200_7#22,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#23,0,1,1,1,0,0,0,0,0,1,0,0,0
14200_7#24,0,1,1,0,0,0,1,0,0,1,1,0,0
14200_7#25,0,1,1,0,0,0,1,0,0,1,0,1,0
14200_7#26,0,1,1,1,0,0,1,0,0,0,0,0,0
14200_7#27,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_7#28,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_7#29,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#3,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#30,0,1,1,0,0,0,0,0,0,0,0,0,0
14200_7#31,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#32,0,1,1,0,0,0,1,0,0,0,0,0,0
14200_7#33,0,1,1,0,0,0,1,0,0,0,0,0,0
14200_7#34,0,1,1,0,0,0,1,0,0,1,0,1,0
14200_7#35,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_7#36,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#37,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#38,0,1,1,0,0,0,1,1,0,1,0,0,0
14200_7#39,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#4,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#40,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#41,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#5,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#6,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_7#7,0,1,1,0,0,0,0,0,0,0,0,0,0
14200_7#8,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#9,0,1,1,0,0,0,1,0,0,1,0,0,1
14200_8#1,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#10,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#11,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#12,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_8#13,0,1,1,0,0,0,0,0,0,1,0,1,0
14200_8#14,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#15,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#16,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#17,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#18,0,1,1,1,0,0,1,0,0,0,0,0,0
14200_8#19,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#2,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#20,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_8#21,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#22,0,1,1,0,0,0,1,0,0,1,0,0,1
14200_8#24,0,1,1,0,0,0,0,0,0,1,0,0,1
14200_8#25,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_8#26,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_8#27,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_8#28,0,1,1,0,0,0,0,0,0,1,0,1,0
14200_8#29,0,1,1,0,0,0,1,0,0,1,0,0,1
14200_8#3,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#30,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#31,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#32,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#33,0,1,1,1,0,0,1,1,0,0,0,0,0
14200_8#34,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#35,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_8#36,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#37,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#39,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#40,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#41,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#42,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#43,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#44,0,1,1,0,0,0,0,0,0,0,0,0,1
14200_8#45,0,1,1,0,0,0,0,0,0,1,0,0,0
